,Movie_id
0,1143242
1,462682
2,1318972
3,251733
4,447301
5,775276
6,4374
7,689
8,1188529
9,258687
10,1108577
11,397667
12,463634
13,689066
14,409600
15,409424
16,462606
17,111543
18,263531
19,89514
20,839954
21,324
22,586397
23,430
24,462360
25,835086
26,679486
27,420923
28,474
29,328
30,279102
31,841700
32,322
33,63991
34,61237
35,522892
36,688
37,195334
38,1387021
39,9691
40,692861
41,280172
42,1199100
43,406408
44,775273
45,538225
46,645118
47,1048334
48,3498
49,407636
50,104992
51,804662
52,102124
53,312
54,88173
55,278522
56,88198
57,526
58,1047883
59,1236063
60,370
61,819101
62,493208
63,505851
64,822709
65,8408
66,841263
67,39577
68,920265
69,5167
70,387556
71,470178
72,468522
73,1008445
74,437410
75,3793
76,961715
77,530
78,458
79,1043758
80,517988
81,48356
82,321842
83,81555
84,749540
85,89515
86,568289
87,1219149
88,38905
89,195524
90,797840
91,86326
92,1322324
93,2053
94,762738
95,81314
96,462762
97,5492
98,411924
99,838
100,1227967
101,649917
102,408876
103,679830
104,258941
105,463724
106,84049
107,409295
108,453397
109,944098
110,395787
111,4886
112,6877
113,837530
114,522941
115,689960
116,6006
117,325381
118,648440
119,707
120,1015471
121,1309596
122,623250
123,276598
124,822708
125,760326
126,470185
127,496849
128,468581
129,461939
130,470689
131,582101
132,589290
133,470553
134,104938
135,1008477
136,61249
137,1309570
138,261636
139,690593
140,453406
141,49684
142,694633
143,5619
144,1405508
145,575180
146,426004
147,277328
148,102151
149,104927
150,3561
151,3491
152,160946
153,843859
154,627
155,47237
156,1007049
157,413447
158,401177
159,770
160,81288
161,823956
162,5273
163,405609
164,195394
165,807682
166,485311
167,677893
168,355
169,676266
170,718811
171,595938
172,391772
173,1101569
174,786958
175,424266
176,522876
177,842567
178,903831
179,278273
180,427855
181,278217
182,82441
183,582170
184,575613
185,455767
186,7908
187,817969
188,12090
189,427122
190,474953
191,428711
192,467099
193,195496
194,3442
195,427198
196,103734
197,195434
198,885658
199,843479
200,2898
201,257898
202,195615
203,432724
204,738499
205,102198
206,693126
207,158786
208,841152
209,841081
210,1009536
211,309
212,824437
213,408410
214,1044906
215,602373
216,835877
217,281251
218,597687
219,462059
220,906654
221,464484
222,491724
223,507817
224,77540
225,6034
226,397494
227,844
228,512883
229,378140
230,1209527
231,1005878
232,252641
233,450213
234,81733
235,2717
236,694051
237,276295
238,1379090
239,740644
240,743088
241,666
242,501333
243,506066
244,902939
245,606646
246,546915
247,77454
248,714888
249,950968
250,48162
251,232785
252,958607
253,988782
254,455773
255,104904
256,935940
257,280174
258,893245
259,1044450
260,81297
261,594554
262,1009142
263,299
264,462358
265,468466
266,706655
267,413362
268,77443
269,81924
270,484878
271,429739
272,635772
273,602409
274,38903
275,916498
276,398239
277,930000
278,782792
279,1044601
280,886
281,178580
282,770631
283,466581
284,680824
285,807318
286,252667
287,455194
288,682886
289,373391
290,1112539
291,102838
292,738
293,814016
294,695609
295,518042
296,77439
297,1338480
298,839650
299,588672
300,258885
301,77548
302,86208
303,6379
304,468904
305,417583
306,413080
307,196707
308,493271
309,1047143
310,1338502
311,419200
312,754481
313,596125
314,686898
315,1301710
316,591485
317,1016160
318,93377
319,662596
320,258328
321,965754
322,464282
323,490323
324,496943
325,1449368
326,316
327,550910
328,801
329,505811
330,494
331,821008
332,807339
333,462454
334,621
335,586260
336,452899
337,195523
338,432791
339,468562
340,102383
341,105948
342,722951
343,577488
344,463686
345,468994
346,81289
347,880
348,770973
349,661911
350,840372
351,195563
352,487409
353,409118
354,722827
355,49166
356,455338
357,1290490
358,994864
359,8932
360,1060511
361,8062
362,666865
363,47015
364,102130
365,1046969
366,279880
367,255129
368,840152
369,273302
370,586584
371,259876
372,77711
373,462465
374,958442
375,504465
376,463354
377,255380
378,6764
379,5090
380,442568
381,298
382,455165
383,461972
384,1045449
385,894027
386,995974
387,527662
388,472386
389,462754
390,594736
391,450765
392,952241
393,497233
394,496
395,252156
396,9617
397,465673
398,160977
399,78753
400,468373
401,102510
402,61361
403,1957
404,424994
405,47382
406,466844
407,77531
408,1080513
409,77576
410,432550
411,278177
412,220589
413,875
414,78871
415,84020
416,645276
417,392930
418,462938
419,723
420,6889
421,51319
422,1171976
423,96452
424,619
425,662359
426,49844
427,77132
428,651857
429,1074222
430,61333
431,271806
432,86204
433,106079
434,77673
435,1068627
436,5932
437,983177
438,724703
439,495518
440,450237
441,323
442,102474
443,4721
444,571892
445,678
446,1198811
447,198116
448,403986
449,428715
450,976636
451,4304
452,195847
453,408871
454,933307
455,581
456,926540
457,395978
458,5056
459,395060
460,400599
461,931677
462,18294
463,1219909
464,977743
465,103785
466,81291
467,762225
468,839646
469,739642
470,744987
471,81845
472,463738
473,412162
474,758178
475,760
476,305
477,695548
478,663715
479,461206
480,840294
481,279850
482,704
483,257401
484,611822
485,461782
486,566283
487,427202
488,2602
489,455188
490,692957
491,634786
492,395066
493,721153
494,870
495,573990
496,463897
497,665315
498,782
499,472105
500,391755
501,590286
502,1008408
503,395690
504,718222
505,489414
506,251879
507,594
508,966036
509,325439
510,436225
511,77596
512,842673
513,180577
514,263447
515,840884
516,462553
517,518037
518,399959
519,405608
520,461981
521,5900
522,586399
523,896631
524,1042726
525,1794
526,437678
527,842493
528,8033
529,966995
530,160932
531,102328
532,243596
533,197532
534,909898
535,533954
536,616
537,317889
538,686
539,655435
540,841277
541,843789
